A001;ABANO TERME PD
A004;ABBADIA CERRETO LO
A005;ABBADIA LARIANA LC
A006;ABBADIA SAN SALVATORE SI
A007;ABBASANTA OR
A008;ABBATEGGIO PE
A010;ABBIATEGRASSO MI
A012;ABETONE PT
A013;ABRIOLA PZ
A014;ACATE RG
A015;ACCADIA FG
A016;ACCEGLIO CN
A017;ACCETTURA MT
A018;ACCIANO AQ
A019;ACCUMOLI RI
A020;ACERENZA PZ
A023;ACERNO SA
A024;ACERRA NA
A025;ACI BONACCORSI CT
A026;ACI CASTELLO CT
A027;ACI CATENA CT
A029;ACI SANT'ANTONIO CT
A028;ACIREALE CT
A031;ACQUACANINA MC
A032;ACQUAFONDATA FR
A033;ACQUAFORMOSA CS
A034;ACQUAFREDDA BS
A035;ACQUALAGNA PU
A039;ACQUANEGRA CREMONESE CR
A038;ACQUANEGRA SUL CHIESE MN
A040;ACQUAPENDENTE VT
A041;ACQUAPPESA CS
A042;ACQUARICA DEL CAPO LE
A043;ACQUARO VV
A044;ACQUASANTA TERME AP
A045;ACQUASPARTA TR
A050;ACQUAVIVA COLLECROCE CB
A048;ACQUAVIVA DELLE FONTI BA
A051;ACQUAVIVA D'ISERNIA IS
A047;ACQUAVIVA PICENA AP
A049;ACQUAVIVA PLATANI CL
M211;ACQUEDOLCI ME
A052;ACQUI TERME AL
A053;ACRI CS
A054;ACUTO FR
A055;ADELFIA BA
A056;ADRANO CT
A057;ADRARA SAN MARTINO BG
A058;ADRARA SAN ROCCO BG
A059;ADRIA RO
A060;ADRO BS
A061;AFFI VR
A062;AFFILE RM
A064;AFRAGOLA NA
A065;AFRICO RC
A067;AGAZZANO PC
A068;AGEROLA NA
A069;AGGIUS SS
A070;AGIRA EN
A071;AGLIANA PT
A072;AGLIANO TERME AT
A074;AGLIE' TO
H848;AGLIENTU SS
A075;AGNA PD
A076;AGNADELLO CR
A077;AGNANA CALABRA RC
A080;AGNONE IS
A082;AGNOSINE BS
A083;AGORDO BL
A084;AGOSTA RM
A085;AGRA VA
A087;AGRATE BRIANZA MI
A088;AGRATE CONTURBIA NO
A089;AGRIGENTO AG
A091;AGROPOLI SA
A092;AGUGLIANO AN
A093;AGUGLIARO VI
A096;AICURZIO MI
A097;AIDOMAGGIORE OR
A098;AIDONE EN
A100;AIELLI AQ
A102;AIELLO CALABRO CS
A103;AIELLO DEL FRIULI UD
A101;AIELLO DEL SABATO AV
A105;AIETA CS
A106;AILANO CE
A107;AILOCHE BI
A109;AIRASCA TO
A110;AIROLA BN
A111;AIROLE IM
A112;AIRUNO LC
A113;AISONE CN
A116;ALA TN
A115;ALA' DEI SARDI SS
A117;ALA DI STURA TO
A118;ALAGNA PV
A119;ALAGNA VALSESIA VC
A120;ALANNO PE
A121;ALANO DI PIAVE BL
A122;ALASSIO SV
A123;ALATRI FR
A124;ALBA CN
A125;ALBA ADRIATICA TE
A126;ALBAGIARA OR
A127;ALBAIRATE MI
A128;ALBANELLA SA
A131;ALBANO DI LUCANIA PZ
A132;ALBANO LAZIALE RM
A129;ALBANO SANT'ALESSANDRO BG
A130;ALBANO VERCELLESE VC
A134;ALBAREDO ARNABOLDI PV
A137;ALBAREDO D'ADIGE VR
A135;ALBAREDO PER SAN MARCO SO
A138;ALBARETO PR
A139;ALBARETTO DELLA TORRE CN
A143;ALBAVILLA CO
A145;ALBENGA SV
A146;ALBERA LIGURE AL
A149;ALBEROBELLO BA
A150;ALBERONA FG
A153;ALBESE CON CASSANO CO
A154;ALBETTONE VI
A155;ALBI CZ
A158;ALBIANO TN
A157;ALBIANO D'IVREA TO
A159;ALBIATE MI
A160;ALBIDONA CS
A161;ALBIGNASEGO PD
A162;ALBINEA RE
A163;ALBINO BG
A164;ALBIOLO CO
A166;ALBISOLA SUPERIORE SV
A165;ALBISSOLA MARINA SV
A167;ALBIZZATE VA
A171;ALBONESE PV
A172;ALBOSAGGIA SO
A173;ALBUGNANO AT
A175;ALBUZZANO PV
A176;ALCAMO TP
A177;ALCARA LI FUSI ME
A178;ALDENO TN
A179;ALDINO .ALDEIN. BZ
A180;ALES OR
A182;ALESSANDRIA AL
A183;ALESSANDRIA DEL CARRETTO CS
A181;ALESSANDRIA DELLA ROCCA AG
A184;ALESSANO LE
A185;ALEZIO LE
A186;ALFANO SA
A187;ALFEDENA AQ
A188;ALFIANELLO BS
A189;ALFIANO NATTA AL
A191;ALFONSINE RA
A192;ALGHERO SS
A193;ALGUA BG
A194;ALI' ME
A201;ALI' TERME ME
A195;ALIA PA
A196;ALIANO MT
A197;ALICE BEL COLLE AL
A198;ALICE CASTELLO VC
A199;ALICE SUPERIORE TO
A265;AMOROSI BN
A200;ALIFE CE
A202;ALIMENA PA
A203;ALIMINUSA PA
A204;ALLAI OR
A206;ALLEGHE BL
A205;ALLEIN AO
A207;ALLERONA TR
A208;ALLISTE LE
A210;ALLUMIERE RM
A211;ALLUVIONI CAMBIO' AL
A214;ALME' BG
A216;ALMENNO SAN BARTOLOMEO BG
A217;ALMENNO SAN SALVATORE BG
A218;ALMESE TO
A220;ALONTE VI
A221;ALPETTE TO
A222;ALPIGNANO TO
A223;ALSENO PC
A224;ALSERIO CO
A225;ALTAMURA BA
A226;ALTARE SV
A228;ALTAVILLA IRPINA AV
A229;ALTAVILLA MILICIA PA
A227;ALTAVILLA MONFERRATO AL
A230;ALTAVILLA SILENTINA SA
A231;ALTAVILLA VICENTINA VI
A233;ALTIDONA AP
A234;ALTILIA CS
A235;ALTINO CH
A236;ALTISSIMO VI
A237;ALTIVOLE TV
A238;ALTO CN
A239;ALTOFONTE PA
A240;ALTOMONTE CS
A241;ALTOPASCIO LU
A242;ALVIANO TR
A243;ALVIGNANO CE
A244;ALVITO FR
A246;ALZANO LOMBARDO BG
A245;ALZANO SCRIVIA AL
A249;ALZATE BRIANZA CO
A251;AMALFI SA
A252;AMANDOLA AP
A253;AMANTEA CS
A254;AMARO UD
A255;AMARONI CZ
A256;AMASENO FR
A257;AMATO CZ
A258;AMATRICE RI
A259;AMBIVERE BG
A260;AMBLAR TN
A261;AMEGLIA SP
A262;AMELIA TR
A263;AMENDOLARA CS
A264;AMENO NO
A335;APPIGNANO DEL TRONTO AP
A267;AMPEZZO UD
A268;ANACAPRI NA
A269;ANAGNI FR
A270;ANCARANO TE
A271;ANCONA AN
A272;ANDALI CZ
A274;ANDALO TN
A273;ANDALO VALTELLINO SO
A275;ANDEZENO TO
A278;ANDORA SV
A280;ANDORNO MICCA BI
A281;ANDRANO LE
A282;ANDRATE TO
A283;ANDREIS PN
A284;ANDRETTA AV
A285;ANDRIA BA
A286;ANDRIANO .ANDRIAN. BZ
A287;ANELA SS
A288;ANFO BS
A290;ANGERA VA
A291;ANGHIARI AR
A292;ANGIARI VR
A293;ANGOLO TERME BS
A294;ANGRI SA
A295;ANGROGNA TO
A297;ANGUILLARA SABAZIA RM
A296;ANGUILLARA VENETA PD
A299;ANNICCO CR
A301;ANNONE DI BRIANZA LC
A302;ANNONE VENETO VE
A303;ANOIA RC
A304;ANTEGNATE BG
A306;ANTERIVO .ALTREI. BZ
A305;ANTEY-SAINT-ANDRE' AO
A309;ANTICOLI CORRADO RM
A312;ANTIGNANO AT
A313;ANTILLO ME
A314;ANTONIMINA RC
A315;ANTRODOCO RI
A317;ANTRONA SCHIERANCO VB
A318;ANVERSA DEGLI ABRUZZI AQ
A319;ANZANO DEL PARCO CO
A320;ANZANO DI PUGLIA FG
A321;ANZI PZ
A323;ANZIO RM
A324;ANZOLA DELL'EMILIA BO
A325;ANZOLA D'OSSOLA VB
A326;AOSTA AO
A327;APECCHIO PU
A328;APICE BN
A329;APIRO MC
A330;APOLLOSA BN
A333;APPIANO GENTILE CO
A332;APPIANO SULLA STRADA DEL VINO .EPPAN AN DER. BZ
A334;APPIGNANO MC
A407;ARITZO NU
A337;APRICA SO
A338;APRICALE IM
A339;APRICENA FG
A340;APRIGLIANO CS
A341;APRILIA LT
A343;AQUARA SA
A344;AQUILA D'ARROSCIA IM
A346;AQUILEIA UD
A347;AQUILONIA AV
A348;AQUINO FR
A350;ARADEO LE
A351;ARAGONA AG
A352;ARAMENGO AT
A354;ARBA PN
A357;ARBOREA OR
A358;ARBORIO VC
A359;ARBUS CA
A360;ARCADE TV
A363;ARCE FR
A365;ARCENE BG
A366;ARCEVIA AN
A367;ARCHI CH
A369;ARCIDOSSO GR
A370;ARCINAZZO ROMANO RM
A371;ARCISATE VA
A372;ARCO TN
A373;ARCOLA SP
A374;ARCOLE VR
A375;ARCONATE MI
A376;ARCORE MI
A377;ARCUGNANO VI
A379;ARDARA SS
A380;ARDAULI OR
M213;ARDEA RM
A382;ARDENNO SO
A383;ARDESIO BG
A385;ARDORE RC
A386;ARENA VV
A387;ARENA PO PV
A388;ARENZANO GE
A389;ARESE MI
A390;AREZZO AR
A391;ARGEGNO CO
A392;ARGELATO BO
A393;ARGENTA FE
A394;ARGENTERA CN
A396;ARGUELLO CN
A397;ARGUSTO CZ
A398;ARI CH
A399;ARIANO IRPINO AV
A400;ARIANO NEL POLESINE RO
A401;ARICCIA RM
A402;ARIELLI CH
A403;ARIENZO CE
A405;ARIGNANO TO
A478;ASSORO EN
A409;ARIZZANO VB
A412;ARLENA DI CASTRO VT
A413;ARLUNO MI
A414;ARMENO NO
A415;ARMENTO PZ
A418;ARMO IM
