A534;BACENO VB
A535;BACOLI NA
A536;BADALUCCO IM
M214;BADESI SS
A537;BADIA .ABTEI. BZ
A615;BARAGIANO PZ
A538;BADIA PAVESE PV
A539;BADIA POLESINE RO
A541;BADIA TEDALDA AR
A542;BADOLATO CZ
A544;BAGALADI RC
A546;BAGHERIA PA
A547;BAGNACAVALLO RA
A552;BAGNARA CALABRA RC
A551;BAGNARA DI ROMAGNA RA
A550;BAGNARIA PV
A553;BAGNARIA ARSA UD
A555;BAGNASCO CN
A557;BAGNATICA BG
A560;BAGNI DI LUCCA LU
A564;BAGNO A RIPOLI FI
A565;BAGNO DI ROMAGNA FC
A567;BAGNOLI DEL TRIGNO IS
A568;BAGNOLI DI SOPRA PD
A566;BAGNOLI IRPINO AV
A570;BAGNOLO CREMASCO CR
A572;BAGNOLO DEL SALENTO LE
A574;BAGNOLO DI PO RO
A573;BAGNOLO IN PIANO RE
A569;BAGNOLO MELLA BS
A571;BAGNOLO PIEMONTE CN
A575;BAGNOLO SAN VITO MN
A576;BAGNONE MS
A577;BAGNOREGIO VT
A578;BAGOLINO BS
A579;BAIA E LATINA CE
A580;BAIANO AV
A581;BAIARDO IM
A584;BAIRO TO
A586;BAISO RE
A587;BALANGERO TO
A588;BALDICHIERI D'ASTI AT
A590;BALDISSERO CANAVESE TO
A589;BALDISSERO D'ALBA CN
A591;BALDISSERO TORINESE TO
A592;BALESTRATE PA
A593;BALESTRINO SV
A594;BALLABIO LC
A597;BALLAO CA
A599;BALME TO
A600;BALMUCCIA VC
A601;BALOCCO VC
A603;BALSORANO AQ
A604;BALVANO PZ
A605;BALZOLA AL
A606;BANARI SS
A607;BANCHETTE TO
A610;BANNIO ANZINO VB
A612;BANZI PZ
A613;BAONE PD
A614;BARADILI OR
A689;BASALUZZO AL
A690;BASCAPE' PV
A616;BARANELLO CB
A617;BARANO D'ISCHIA NA
A618;BARANZATE MI
A619;BARASSO VA
A621;BARATILI SAN PIETRO OR
A625;BARBANIA TO
A626;BARBARA AN
A628;BARBARANO ROMANO VT
A627;BARBARANO VICENTINO VI
A629;BARBARESCO CN
A630;BARBARIGA BS
A631;BARBATA BG
A632;BARBERINO DI MUGELLO FI
A633;BARBERINO VAL D'ELSA FI
A634;BARBIANELLO PV
A635;BARBIANO .BARBIAN. BZ
A637;BARBONA PD
A638;BARCELLONA POZZO DI GOTTO ME
A639;BARCHI PU
A640;BARCIS PN
A643;BARD AO
A645;BARDELLO VA
A646;BARDI PR
A647;BARDINETO SV
A650;BARDOLINO VR
A651;BARDONECCHIA TO
A652;BAREGGIO MI
A653;BARENGO NO
A655;BARESSA OR
A656;BARETE AQ
A657;BARGA LU
A658;BARGAGLI GE
A660;BARGE CN
A661;BARGHE BS
A662;BARI BA
A663;BARI SARDO NU
A664;BARIANO BG
A665;BARICELLA BO
A666;BARILE PZ
A667;BARISCIANO AQ
A668;BARLASSINA MI
A669;BARLETTA BA
A670;BARNI CO
A671;BAROLO CN
A673;BARONE CANAVESE TO
A674;BARONISSI SA
A676;BARRAFRANCA EN
A677;BARRALI CA
A678;BARREA AQ
A681;BARUMINI CA
A683;BARZAGO LC
A684;BARZANA BG
A686;BARZANO' LC
A687;BARZIO LC
A756;BELLOSGUARDO SA
A757;BELLUNO BL
A691;BASCHI TR
A692;BASCIANO TE
A694;BASELGA DI PINE' TN
A696;BASELICE BN
A697;BASIANO MI
A698;BASICO' ME
A699;BASIGLIO MI
A700;BASILIANO UD
A702;BASSANO BRESCIANO BS
A703;BASSANO DEL GRAPPA VI
A706;BASSANO IN TEVERINA VT
A704;BASSANO ROMANO VT
A707;BASSIANO LT
A708;BASSIGNANA AL
A709;BASTIA MONDOVI' CN
A710;BASTIA UMBRA PG
A711;BASTIDA DE' DOSSI PV
A712;BASTIDA PANCARANA PV
A713;BASTIGLIA MO
A714;BATTAGLIA TERME PD
A716;BATTIFOLLO CN
A717;BATTIPAGLIA SA
A718;BATTUDA PV
A719;BAUCINA PA
A721;BAULADU OR
A722;BAUNEI NU
A725;BAVENO VB
A726;BAZZANO BO
A728;BEDERO VALCUVIA VA
A729;BEDIZZOLE BS
A730;BEDOLLO TN
A731;BEDONIA PR
A732;BEDULITA BG
A733;BEE VB
A734;BEINASCO TO
A735;BEINETTE CN
A736;BELCASTRO CZ
A737;BELFIORE VR
A740;BELFORTE ALL'ISAURO PU
A739;BELFORTE DEL CHIENTI MC
A738;BELFORTE MONFERRATO AL
A741;BELGIOIOSO PV
A742;BELGIRATE VB
A743;BELLA PZ
A744;BELLAGIO CO
A745;BELLANO LC
A746;BELLANTE TE
A747;BELLARIA-IGEA MARINA RN
A749;BELLEGRA RM
A750;BELLINO CN
A751;BELLINZAGO LOMBARDO MI
A752;BELLINZAGO NOVARESE NO
M294;BELLIZZI SA
A755;BELLONA CE
A823;BESENZONE PC
A825;BESNATE VA
A759;BELLUSCO MI
A762;BELMONTE CALABRO CS
A763;BELMONTE CASTELLO FR
A761;BELMONTE DEL SANNIO IS
A765;BELMONTE IN SABINA RI
A764;BELMONTE MEZZAGNO PA
A760;BELMONTE PICENO AP
A766;BELPASSO CT
A768;BELSITO CS
A772;BELVEDERE DI SPINELLO KR
A774;BELVEDERE LANGHE CN
A773;BELVEDERE MARITTIMO CS
A769;BELVEDERE OSTRENSE AN
A770;BELVEGLIO AT
A776;BELVI NU
A777;BEMA SO
A778;BENE LARIO CO
A779;BENE VAGIENNA CN
A780;BENESTARE RC
A781;BENETUTTI SS
A782;BENEVELLO CN
A783;BENEVENTO BN
A784;BENNA BI
A785;BENTIVOGLIO BO
A786;BERBENNO BG
A787;BERBENNO DI VALTELLINA SO
A788;BERCETO PR
A789;BERCHIDDA SS
A791;BEREGAZZO CON FIGLIARO CO
A792;BEREGUARDO PV
A793;BERGAMASCO AL
A794;BERGAMO BG
A795;BERGANTINO RO
A796;BERGEGGI SV
A798;BERGOLO CN
A799;BERLINGO BS
A801;BERNALDA MT
