B320;CA' D'ANDREA CR
B311;CABELLA LIGURE AL
B313;CABIATE CO
B314;CABRAS OR
B315;CACCAMO PA
B319;CACCURI KR
B326;CADEGLIANO-VICONAGO VA
B328;CADELBOSCO DI SOPRA RE
B332;CADEO PC
B335;CADERZONE TN
B345;CADONEGHE PD
B346;CADORAGO CO
B347;CADREZZATE VA
B349;CAERANO DI SAN MARCO TV
B350;CAFASSE TO
B351;CAGGIANO SA
B352;CAGLI PU
B354;CAGLIARI CA
B355;CAGLIO CO
B358;CAGNANO AMITERNO AQ
B357;CAGNANO VARANO FG
B359;CAGNO CO
B360;CAGNO' TN
B361;CAIANELLO CE
B362;CAIAZZO CE
B364;CAINES .KUENS. BZ
B365;CAINO BS
B366;CAIOLO SO
B367;CAIRANO AV
B368;CAIRATE VA
B369;CAIRO MONTENOTTE SV
B371;CAIVANO NA
B374;CALABRITTO AV
B441;CALVENE VI
B442;CALVENZANO BG
B443;CALVERA PZ
B378;CALANGIANUS SS
B379;CALANNA RC
B380;CALASCA-CASTIGLIONE VB
B381;CALASCIBETTA EN
B382;CALASCIO AQ
B383;CALASETTA CA
B384;CALATABIANO CT
B385;CALATAFIMI TP
B386;CALAVINO TN
B388;CALCATA VT
B389;CALCERANICA AL LAGO TN
B390;CALCI PI
B391;CALCIANO MT
B392;CALCINAIA PI
B393;CALCINATE BG
B394;CALCINATO BS
B395;CALCIO BG
B396;CALCO LC
B397;CALDARO SULLA STRADA DEL VINO .KALTERN AN DE. BZ
B398;CALDAROLA MC
B399;CALDERARA DI RENO BO
B400;CALDES TN
B402;CALDIERO VR
B403;CALDOGNO VI
B404;CALDONAZZO TN
B405;CALENDASCO PC
B406;CALENZANO FI
B408;CALESTANO PR
B410;CALICE AL CORNOVIGLIO SP
B409;CALICE LIGURE SV
B413;CALIMERA LE
B415;CALITRI AV
B416;CALIZZANO SV
B417;CALLABIANA BI
B418;CALLIANO AT
B419;CALLIANO TN
B423;CALOLZIOCORTE LC
B424;CALOPEZZATI CS
B425;CALOSSO AT
B426;CALOVETO CS
B427;CALTABELLOTTA AG
B428;CALTAGIRONE CT
B429;CALTANISSETTA CL
B430;CALTAVUTURO PA
B431;CALTIGNAGA NO
B432;CALTO RO
B433;CALTRANO VI
B434;CALUSCO D'ADDA BG
B435;CALUSO TO
B436;CALVAGESE DELLA RIVIERA BS
B437;CALVANICO SA
B439;CALVATONE CR
B440;CALVELLO PZ
B514;CAMPITELLO DI FASSA TN
B515;CAMPLI TE
B516;CAMPO CALABRO RC
B444;CALVI BN
B446;CALVI DELL'UMBRIA TR
B445;CALVI RISORTA CE
B447;CALVIGNANO PV
B448;CALVIGNASCO MI
B450;CALVISANO BS
B452;CALVIZZANO NA
B453;CAMAGNA MONFERRATO AL
B455;CAMAIORE LU
B456;CAMAIRAGO LO
B457;CAMANDONA BI
B460;CAMASTRA AG
B461;CAMBIAGO MI
B462;CAMBIANO TO
B463;CAMBIASCA VB
B465;CAMBURZANO BI
B467;CAMERANA CN
B468;CAMERANO AN
B469;CAMERANO CASASCO AT
B471;CAMERATA CORNELLO BG
B472;CAMERATA NUOVA RM
B470;CAMERATA PICENA AN
B473;CAMERI NO
B474;CAMERINO MC
B476;CAMEROTA SA
B477;CAMIGLIANO CE
B479;CAMINATA PC
B481;CAMINI RC
B482;CAMINO AL
B483;CAMINO AL TAGLIAMENTO UD
B484;CAMISANO CR
B485;CAMISANO VICENTINO VI
B486;CAMMARATA AG
B489;CAMO CN
B490;CAMOGLI GE
B492;CAMPAGNA SA
B493;CAMPAGNA LUPIA VE
B496;CAMPAGNANO DI ROMA RM
B497;CAMPAGNATICO GR
B498;CAMPAGNOLA CREMASCA CR
B499;CAMPAGNOLA EMILIA RE
B500;CAMPANA CS
B501;CAMPARADA MI
B502;CAMPEGINE RE
B504;CAMPELLO SUL CLITUNNO PG
B505;CAMPERTOGNO VC
B507;CAMPI BISENZIO FI
B506;CAMPI SALENTINA LE
B508;CAMPIGLIA CERVO BI
B511;CAMPIGLIA DEI BERICI VI
B509;CAMPIGLIA MARITTIMA LI
B512;CAMPIGLIONE FENILE TO
B513;CAMPIONE D'ITALIA CO
B580;CANCELLARA PZ
B581;CANCELLO ED ARNONE CE
B582;CANDA RO
B526;CAMPO DI GIOVE AQ
B529;CAMPO DI TRENS .FREIENFELD. BZ
B538;CAMPO LIGURE GE
B553;CAMPO NELL'ELBA LI
B564;CAMPO SAN MARTINO PD
B570;CAMPO TURES .SAND IN TAUFERS. BZ
B519;CAMPOBASSO CB
B520;CAMPOBELLO DI LICATA AG
B521;CAMPOBELLO DI MAZARA TP
B522;CAMPOCHIARO CB
B524;CAMPODARSEGO PD
B525;CAMPODENNO TN
B527;CAMPODIMELE LT
B528;CAMPODIPIETRA CB
B530;CAMPODOLCINO SO
B531;CAMPODORO PD
B533;CAMPOFELICE DI FITALIA PA
B532;CAMPOFELICE DI ROCCELLA PA
B534;CAMPOFILONE AP
B535;CAMPOFIORITO PA
B536;CAMPOFORMIDO UD
B537;CAMPOFRANCO CL
B539;CAMPOGALLIANO MO
B541;CAMPOLATTARO BN
B543;CAMPOLI APPENNINO FR
B542;CAMPOLI DEL MONTE TABURNO BN
B544;CAMPOLIETO CB
B545;CAMPOLONGO AL TORRE UD
B546;CAMPOLONGO MAGGIORE VE
B547;CAMPOLONGO SUL BRENTA VI
