D871;GALLIATE LOMBARDO VA
D873;GALLIAVOLA PV
D874;GALLICANO LU
D875;GALLICANO NEL LAZIO RM
D876;GALLICCHIO PZ
D878;GALLIERA BO
D879;GALLIERA VENETA PD
D881;GALLINARO FR
D834;GABBIONETA BINANUOVA CR
D835;GABIANO AL
D836;GABICCE MARE PU
D839;GABY AO
D841;GADESCO PIEVE DELMONA CR
D842;GADONI NU
D843;GAETA LT
D844;GAGGI ME
D845;GAGGIANO MI
D847;GAGGIO MONTANO BO
D848;GAGLIANICO BI
D850;GAGLIANO ATERNO AQ
D849;GAGLIANO CASTELFERRATO EN
D851;GAGLIANO DEL CAPO LE
D852;GAGLIATO CZ
D853;GAGLIOLE MC
D854;GAIARINE TV
D855;GAIBA RO
D856;GAIOLA CN
D858;GAIOLE IN CHIANTI SI
D859;GAIRO NU
D860;GAIS .GAIS. BZ
D861;GALATI MAMERTINO ME
D862;GALATINA LE
D863;GALATONE LE
D864;GALATRO RC
D865;GALBIATE LC
D867;GALEATA FC
D868;GALGAGNANO LO
D869;GALLARATE VA
D870;GALLESE VT
D872;GALLIATE NO
D941;GAVAZZANA AL
D942;GAVELLO RO
D943;GAVERINA TERME BG
D944;GAVI AL
D945;GAVIGNANO RM
D946;GAVIRATE VA
D947;GAVOI NU
D948;GAVORRANO GR
D949;GAZOLDO DEGLI IPPOLITI MN
D882;GALLIO VI
D883;GALLIPOLI LE
D884;GALLO MATESE CE
D885;GALLODORO ME
D886;GALLUCCIO CE
D888;GALTELLI NU
D889;GALZIGNANO TERME PD
D890;GAMALERO AL
D891;GAMBARA BS
D892;GAMBARANA PV
D894;GAMBASCA CN
D895;GAMBASSI TERME FI
D896;GAMBATESA CB
D897;GAMBELLARA VI
D898;GAMBERALE CH
D899;GAMBETTOLA FC
D901;GAMBOLO' PV
D902;GAMBUGLIANO VI
D903;GANDELLINO BG
D905;GANDINO BG
D906;GANDOSSO BG
D907;GANGI PA
D909;GARAGUSO MT
D910;GARBAGNA AL
D911;GARBAGNA NOVARESE NO
D912;GARBAGNATE MILANESE MI
D913;GARBAGNATE MONASTERO LC
D915;GARDA VR
D917;GARDONE RIVIERA BS
D918;GARDONE VAL TROMPIA BS
D920;GARESSIO CN
D921;GARGALLO NO
D923;GARGAZZONE .GARGAZON. BZ
D924;GARGNANO BS
D925;GARLASCO PV
D926;GARLATE LC
D927;GARLENDA SV
D928;GARNIGA TERME TN
D930;GARZENO CO
D931;GARZIGLIANA TO
D932;GASPERINA CZ
D933;GASSINO TORINESE TO
D934;GATTATICO RE
D935;GATTEO FC
D937;GATTICO NO
D938;GATTINARA VC
D940;GAVARDO BS
E009;GIAGLIONE TO
E010;GIANICO BS
E012;GIANO DELL'UMBRIA PG
E011;GIANO VETUSTO CE
E013;GIARDINELLO PA
E014;GIARDINI-NAXOS ME
E015;GIAROLE AL
E016;GIARRATANA RG
E017;GIARRE CT
D951;GAZZADA SCHIANNO VA
D952;GAZZANIGA BG
D956;GAZZO PADOVANO PD
D957;GAZZO VERONESE VR
D958;GAZZOLA PC
D959;GAZZUOLO MN
D960;GELA CL
D961;GEMMANO RN
D962;GEMONA DEL FRIULI UD
D963;GEMONIO VA
D964;GENAZZANO RM
D965;GENGA AN
D966;GENIVOLTA CR
D967;GENOLA CN
D968;GENONI NU
D969;GENOVA GE
D970;GENURI CA
D971;GENZANO DI LUCANIA PZ
D972;GENZANO DI ROMA RM
D973;GENZONE PV
D974;GERA LARIO CO
D975;GERACE RC
D977;GERACI SICULO PA
D978;GERANO RM
D980;GERENZAGO PV
D981;GERENZANO VA
D982;GERGEI NU
D983;GERMAGNANO TO
D984;GERMAGNO VB
D986;GERMASINO CO
D987;GERMIGNAGA VA
D988;GEROCARNE VV
D990;GEROLA ALTA SO
D991;GEROSA BG
D993;GERRE DE' CAPRIOLI CR
D994;GESICO CA
D995;GESSATE MI
D996;GESSOPALENA CH
D997;GESTURI CA
D998;GESUALDO AV
D999;GHEDI BS
E001;GHEMME NO
E003;GHIFFA VB
E004;GHILARZA OR
