E784;MACERATA CAMPANIA CE
E785;MACERATA FELTRIA PU
E786;MACHERIO MI
E787;MACLODIO BS
E788;MACOMER NU
E789;MACRA CN
E790;MACUGNAGA VB
E791;MADDALONI CE
E342;MADESIMO SO
E793;MADIGNANO CR
E794;MADONE BG
E775;MACCAGNO VA
E777;MACCASTORNA LO
E778;MACCHIA D'ISERNIA IS
E780;MACCHIA VALFORTORE CB
E779;MACCHIAGODENA IS
E782;MACELLO TO
E783;MACERATA MC
E854;MALETTO CT
E855;MALFA ME
E856;MALGESSO VA
E858;MALGRATE LC
E859;MALITO CS
E860;MALLARE SV
E862;MALLES VENOSTA .MALS. BZ
E863;MALNATE VA
E864;MALO VI
E865;MALONNO BS
E866;MALOSCO TN
E795;MADONNA DEL SASSO VB
E798;MAENZA LT
E799;MAFALDA CB
E800;MAGASA BS
E801;MAGENTA MI
E803;MAGGIORA NO
E804;MAGHERNO PV
E805;MAGIONE PG
E806;MAGISANO CZ
E809;MAGLIANO ALFIERI CN
E808;MAGLIANO ALPI CN
E811;MAGLIANO DE' MARSI AQ
E807;MAGLIANO DI TENNA AP
E810;MAGLIANO IN TOSCANA GR
E813;MAGLIANO ROMANO RM
E812;MAGLIANO SABINA RI
E814;MAGLIANO VETERE SA
E815;MAGLIE LE
E816;MAGLIOLO SV
E817;MAGLIONE TO
E818;MAGNACAVALLO MN
E819;MAGNAGO MI
E821;MAGNANO BI
E820;MAGNANO IN RIVIERA UD
E825;MAGOMADAS NU
E829;MAGRE' SULLA STRADA DEL VINO .MARGREID AN DE. BZ
E830;MAGREGLIO CO
E834;MAIDA CZ
E835;MAIERA' CS
E836;MAIERATO VV
E837;MAIOLATI SPONTINI AN
E838;MAIOLO PU
E839;MAIORI SA
E840;MAIRAGO LO
E841;MAIRANO BS
E842;MAISSANA SP
E833;MAJANO UD
E843;MALAGNINO CR
E844;MALALBERGO BO
E847;MALBORGHETTO-VALBRUNA UD
E848;MALCESINE VR
E850;MALE' TN
