G234;PAGLIARA ME
G237;PAGLIETA CH
G238;PAGNACCO UD
G240;PAGNO CN
G241;PAGNONA LC
G242;PAGO DEL VALLO DI LAURO AV
G243;PAGO VEIANO BN
G247;PAISCO LOVENO BS
G248;PAITONE BS
G249;PALADINA BG
G250;PALAGANO MO
G251;PALAGIANELLO TA
G252;PALAGIANO TA
G253;PALAGONIA CT
G207;PABILLONIS CA
G209;PACE DEL MELA ME
G208;PACECO TP
G210;PACENTRO AQ
G211;PACHINO SR
G212;PACIANO PG
G213;PADENGHE SUL GARDA BS
G214;PADERGNONE TN
G215;PADERNA AL
G218;PADERNO D'ADDA LC
G221;PADERNO DEL GRAPPA TV
G220;PADERNO DUGNANO MI
G217;PADERNO FRANCIACORTA BS
G222;PADERNO PONCHIELLI CR
G224;PADOVA PD
G225;PADRIA SS
M301;PADRU SS
G226;PADULA SA
G227;PADULI BN
G228;PAESANA CN
G229;PAESE TV
G230;PAGANI SA
G232;PAGANICO SABINO RI
G233;PAGAZZANO BG
G303;PANCALIERI TO
G304;PANCARANA PV
G305;PANCHIA' TN
G306;PANDINO CR
G307;PANETTIERI CS
G308;PANICALE PG
G311;PANNARANO BN
G312;PANNI FG
G315;PANTELLERIA TP
G316;PANTIGLIATE MI
G317;PAOLA CS
G318;PAOLISI BN
G320;PAPASIDERO CS
G323;PAPOZZE RO
G254;PALAIA PI
G255;PALANZANO PR
G257;PALATA CB
G258;PALAU SS
G259;PALAZZAGO BG
G263;PALAZZO ADRIANO PA
G262;PALAZZO CANAVESE TO
G260;PALAZZO PIGNANO CR
G261;PALAZZO SAN GERVASIO PZ
G267;PALAZZOLO ACREIDE SR
G268;PALAZZOLO DELLO STELLA UD
G264;PALAZZOLO SULL'OGLIO BS
G266;PALAZZOLO VERCELLESE VC
G270;PALAZZUOLO SUL SENIO FI
G271;PALENA CH
G272;PALERMITI CZ
G273;PALERMO PA
G274;PALESTRINA RM
G275;PALESTRO PV
G276;PALIANO FR
G277;PALIZZI RC
G278;PALLAGORIO KR
G280;PALLANZENO VB
G281;PALLARE SV
G283;PALMA CAMPANIA NA
G282;PALMA DI MONTECHIARO AG
G284;PALMANOVA UD
G285;PALMARIGGI LE
G286;PALMAS ARBOREA OR
