H097;QUADRELLE AV
H098;QUADRI CH
H100;QUAGLIUZZO TO
H101;QUALIANO NA
H102;QUARANTI AT
H103;QUAREGNA BI
H104;QUARGNENTO AL
H106;QUARNA SOPRA VB
H107;QUARNA SOTTO VB
H108;QUARONA VC
H109;QUARRATA PT
H110;QUART AO
H114;QUARTO NA
H117;QUARTO D'ALTINO VE
H118;QUARTU SANT'ELENA CA
H119;QUARTUCCIU CA
H120;QUASSOLO TO
H121;QUATTORDIO AL
H122;QUATTRO CASTELLA RE
H124;QUERO BL
H126;QUILIANO SV
H127;QUINCINETTO TO
H128;QUINDICI AV
H129;QUINGENTOLE MN
H130;QUINTANO CR
H131;QUINTO DI TREVISO TV
H132;QUINTO VERCELLESE VC
H134;QUINTO VICENTINO VI
H140;QUINZANO D'OGLIO BS
H143;QUISTELLO MN
H145;QUITTENGO BI
