H150;RACCONIGI CN
H151;RACCUJA ME
H152;RACINES .RATSCHINGS. BZ
H153;RADDA IN CHIANTI SI
H154;RADDUSA CT
H156;RADICOFANI SI
H157;RADICONDOLI SI
H159;RAFFADALI AG
M287;RAGALNA CT
H161;RAGOGNA UD
H162;RAGOLI TN
H163;RAGUSA RG
H166;RAIANO AQ
H168;RAMACCA CT
G654;RAMISETO RE
H171;RAMPONIO VERNA CO
H146;RABBI TN
H147;RACALE LE
H148;RACALMUTO AG
H225;REGGIOLO RE
H227;REINO BN
H228;REITANO ME
H229;REMANZACCO UD
H230;REMEDELLO BS
H233;RENATE MI
H235;RENDE CS
H236;RENON .RITTEN. BZ
H238;RESANA TV
H240;RESCALDINA MI
H242;RESIA UD
H244;RESIUTTA UD
H245;RESUTTANO CL
H246;RETORBIDO PV
H247;REVELLO CN
H248;REVERE MN
H173;RANCIO VALCUVIA VA
H174;RANCO VA
H175;RANDAZZO CT
H176;RANICA BG
H177;RANZANICO BG
H180;RANZO IM
H182;RAPAGNANO AP
H183;RAPALLO GE
H184;RAPINO CH
H185;RAPOLANO TERME SI
H186;RAPOLLA PZ
H187;RAPONE PZ
H188;RASSA VC
H189;RASUN ANTERSELVA .RASEN ANTHOLZ. BZ
H192;RASURA SO
H194;RAVANUSA AG
H195;RAVARINO MO
H196;RAVASCLETTO UD
H198;RAVELLO SA
H199;RAVENNA RA
H200;RAVEO UD
H202;RAVISCANINA CE
H203;RE VB
H204;REA PV
H205;REALMONTE AG
H206;REANA DEL ROIALE UD
H207;REANO TO
H210;RECALE CE
H211;RECANATI MC
H212;RECCO GE
H213;RECETTO NO
H214;RECOARO TERME VI
H216;REDAVALLE PV
H218;REDONDESCO MN
H219;REFRANCORE AT
H220;REFRONTOLO TV
H221;REGALBUTO EN
H222;REGGELLO FI
H224;REGGIO DI CALABRIA RC
H223;REGGIO NELL'EMILIA RE
H300;RIOFREDDO RM
H301;RIOLA SARDO OR
H302;RIOLO TERME RA
H303;RIOLUNATO MO
H304;RIOMAGGIORE SP
H307;RIONERO IN VULTURE PZ
H308;RIONERO SANNITICO IS
H320;RIPA TEATINA CH
H311;RIPABOTTONI CB
H312;RIPACANDIDA PZ
H313;RIPALIMOSANI CB
H314;RIPALTA ARPINA CR
H315;RIPALTA CREMASCA CR
H316;RIPALTA GUERINA CR
H319;RIPARBELLA PI
H321;RIPATRANSONE AP
H250;REVIGLIASCO D'ASTI AT
H253;REVINE LAGO TV
H254;REVO' TN
H255;REZZAGO CO
H256;REZZATO BS
H257;REZZO IM
H258;REZZOAGLIO GE
H262;RHEMES-NOTRE-DAME AO
H263;RHEMES-SAINT-GEORGES AO
H264;RHO MI
H265;RIACE RC
H266;RIALTO SV
H267;RIANO RM
H268;RIARDO CE
H269;RIBERA AG
H270;RIBORDONE TO
H271;RICADI VV
H272;RICALDONE AL
H273;RICCIA CB
H274;RICCIONE RN
H275;RICCO' DEL GOLFO DI SPEZIA SP
H276;RICENGO CR
H277;RICIGLIANO SA
H280;RIESE PIO X TV
H281;RIESI CL
H282;RIETI RI
H284;RIFIANO .RIFFIAN. BZ
H285;RIFREDDO CN
H288;RIGNANO FLAMINIO RM
H287;RIGNANO GARGANICO FG
H286;RIGNANO SULL'ARNO FI
H289;RIGOLATO UD
H291;RIMA SAN GIUSEPPE VC
H292;RIMASCO VC
H293;RIMELLA VC
H294;RIMINI RN
H299;RIO DI PUSTERIA .MUHLBACH. BZ
H305;RIO MARINA LI
H297;RIO NELL'ELBA LI
H298;RIO SALICETO RE
H369;ROBBIO PV
H371;ROBECCHETTO CON INDUNO MI
H372;ROBECCO D'OGLIO CR
H375;ROBECCO PAVESE PV
H373;ROBECCO SUL NAVIGLIO MI
H376;ROBELLA AT
H377;ROBILANTE CN
H378;ROBURENT CN
H386;ROCCA CANAVESE TO
H387;ROCCA CANTERANO RM
H391;ROCCA CIGLIE' CN
H392;ROCCA D'ARAZZO AT
H395;ROCCA DE' BALDI CN
H396;ROCCA DE' GIORGI PV
H398;ROCCA D'EVANDRO CE
H399;ROCCA DI BOTTE AQ
H322;RIPE AN
H323;RIPE SAN GINESIO MC
H324;RIPI FR
H325;RIPOSTO CT
H326;RITTANA CN
H330;RIVA DEL GARDA TN
H331;RIVA DI SOLTO BG
H328;RIVA LIGURE IM
H337;RIVA PRESSO CHIERI TO
H329;RIVA VALDOBBIA VC
H333;RIVALBA TO
H334;RIVALTA BORMIDA AL
H335;RIVALTA DI TORINO TO
H327;RIVAMONTE AGORDINO BL
H336;RIVANAZZANO PV
H338;RIVARA TO
H340;RIVAROLO CANAVESE TO
H341;RIVAROLO DEL RE ED UNITI CR
H342;RIVAROLO MANTOVANO MN
H343;RIVARONE AL
H344;RIVAROSSA TO
H346;RIVE VC
H347;RIVE D'ARCANO UD
H348;RIVELLO PZ
H350;RIVERGARO PC
H352;RIVIGNANO UD
H353;RIVISONDOLI AQ
H354;RIVODUTRI RI
H355;RIVOLI TO
H356;RIVOLI VERONESE VR
H357;RIVOLTA D'ADDA CR
H359;RIZZICONI RC
H360;RO FE
H361;ROANA VI
H362;ROASCHIA CN
H363;ROASCIO CN
H365;ROASIO VC
H366;ROATTO AT
H367;ROBASSOMERO TO
G223;ROBBIATE LC
H424;ROCCAMONTEPIANO CH
H425;ROCCAMORICE PE
H426;ROCCANOVA PZ
H427;ROCCANTICA RI
H428;ROCCAPALUMBA PA
H431;ROCCAPIEMONTE SA
H433;ROCCARAINOLA NA
H434;ROCCARASO AQ
H436;ROCCAROMANA CE
H442;ROCCASCALEGNA CH
H443;ROCCASECCA FR
H444;ROCCASECCA DEI VOLSCI LT
H445;ROCCASICURA IS
H447;ROCCASPARVERA CN
H448;ROCCASPINALVETI CH
H449;ROCCASTRADA GR
H400;ROCCA DI CAMBIO AQ
H401;ROCCA DI CAVE RM
H402;ROCCA DI MEZZO AQ
H403;ROCCA DI NETO KR
H404;ROCCA DI PAPA RM
H414;ROCCA GRIMALDA AL
H416;ROCCA IMPERIALE CS
H421;ROCCA MASSIMA LT
H429;ROCCA PIA AQ
H379;ROCCA PIETORE BL
H432;ROCCA PRIORA RM
H437;ROCCA SAN CASCIANO FC
H438;ROCCA SAN FELICE AV
H439;ROCCA SAN GIOVANNI CH
H440;ROCCA SANTA MARIA TE
H441;ROCCA SANTO STEFANO RM
H446;ROCCA SINIBALDA RI
H450;ROCCA SUSELLA PV
H382;ROCCABASCERANA AV
H383;ROCCABERNARDA KR
H384;ROCCABIANCA PR
H385;ROCCABRUNA CN
H389;ROCCACASALE AQ
H393;ROCCADARCE FR
H394;ROCCADASPIDE SA
H405;ROCCAFIORITA ME
H390;ROCCAFLUVIONE AP
H408;ROCCAFORTE DEL GRECO RC
H406;ROCCAFORTE LIGURE AL
H407;ROCCAFORTE MONDOVI' CN
H409;ROCCAFORZATA TA
H410;ROCCAFRANCA BS
H411;ROCCAGIOVINE RM
H412;ROCCAGLORIOSA SA
H413;ROCCAGORGA LT
H417;ROCCALBEGNA GR
H418;ROCCALUMERA ME
H420;ROCCAMANDOLFI IS
H422;ROCCAMENA PA
H423;ROCCAMONFINA CE
H500;ROLO RE
H501;ROMA RM
H503;ROMAGNANO AL MONTE SA
H502;ROMAGNANO SESIA NO
H505;ROMAGNESE PV
H506;ROMALLO TN
H507;ROMANA SS
H508;ROMANENGO CR
H511;ROMANO CANAVESE TO
H512;ROMANO D'EZZELINO VI
H509;ROMANO DI LOMBARDIA BG
H514;ROMANS D'ISONZO GO
H516;ROMBIOLO VV
H517;ROMENO TN
H518;ROMENTINO NO
H519;ROMETTA ME
H521;RONAGO CO
H380;ROCCAVALDINA ME
H451;ROCCAVERANO AT
H452;ROCCAVIGNALE SV
H453;ROCCAVIONE CN
H454;ROCCAVIVARA CB
H456;ROCCELLA IONICA RC
H455;ROCCELLA VALDEMONE ME
H458;ROCCHETTA A VOLTURNO IS
H462;ROCCHETTA BELBO CN
H461;ROCCHETTA DI VARA SP
H459;ROCCHETTA E CROCE CE
H465;ROCCHETTA LIGURE AL
H460;ROCCHETTA NERVINA IM
H466;ROCCHETTA PALAFEA AT
H467;ROCCHETTA SANT'ANTONIO FG
H468;ROCCHETTA TANARO AT
H470;RODANO MI
H472;RODDI CN
H473;RODDINO CN
H474;RODELLO CN
H475;RODENGO .RODENECK. BZ
H477;RODENGO-SAIANO BS
H478;RODERO CO
H480;RODI GARGANICO FG
H479;RODI' MILICI ME
H481;RODIGO MN
H484;ROE' VOLCIANO BS
H485;ROFRANO SA
H486;ROGENO LC
H488;ROGGIANO GRAVINA CS
H489;ROGHUDI RC
H490;ROGLIANO CS
H491;ROGNANO PV
H492;ROGNO BG
H493;ROGOLO SO
H494;ROIATE RM
H495;ROIO DEL SANGRO CH
H497;ROISAN AO
H498;ROLETTO TO
H570;ROSIGNANO MARITTIMO LI
H569;ROSIGNANO MONFERRATO AL
H573;ROSOLINA RO
H574;ROSOLINI SR
H575;ROSORA AN
H577;ROSSA VC
H578;ROSSANA CN
H579;ROSSANO CS
H580;ROSSANO VENETO VI
H581;ROSSIGLIONE GE
H583;ROSTA TO
H584;ROTA D'IMAGNA BG
H585;ROTA GRECA CS
H588;ROTELLA AP
H589;ROTELLO CB
H590;ROTONDA PZ
H591;ROTONDELLA MT
H522;RONCA' VR
H523;RONCADE TV
H525;RONCADELLE BS
H527;RONCARO PV
H528;RONCEGNO TN
H529;RONCELLO MI
H531;RONCHI DEI LEGIONARI GO
H532;RONCHI VALSUGANA TN
H533;RONCHIS UD
H534;RONCIGLIONE VT
H540;RONCO ALL'ADIGE VR
H538;RONCO BIELLESE BI
H537;RONCO BRIANTINO MI
H539;RONCO CANAVESE TO
H536;RONCO SCRIVIA GE
H535;RONCOBELLO BG
H541;RONCOFERRARO MN
H542;RONCOFREDDO FC
H544;RONCOLA BG
H545;RONCONE TN
H546;RONDANINA GE
H547;RONDISSONE TO
H549;RONSECCO VC
M303;RONZO-CHIENIS TN
H552;RONZONE TN
H553;ROPPOLO BI
H554;RORA' TO
H556;ROSA' VI
H558;ROSARNO RC
H559;ROSASCO PV
H560;ROSATE MI
H561;ROSAZZA BI
H562;ROSCIANO PE
H564;ROSCIGNO SA
H565;ROSE CS
H566;ROSELLO CH
H572;ROSETO CAPO SPULICO CS
F585;ROSETO DEGLI ABRUZZI TE
H568;ROSETO VALFORTORE FG
H643;RUTIGLIANO BA
H644;RUTINO SA
H165;RUVIANO CE
H646;RUVO DEL MONTE PZ
H645;RUVO DI PUGLIA BA
H592;ROTONDI AV
H593;ROTTOFRENO PC
H594;ROTZO VI
H555;ROURE TO
H596;ROVAGNATE LC
H364;ROVASENDA VC
H598;ROVATO BS
H599;ROVEGNO GE
H601;ROVELLASCA CO
H602;ROVELLO PORRO CO
H604;ROVERBELLA MN
H606;ROVERCHIARA VR
