L027;TAGLIOLO MONFERRATO AL
L030;TAIBON AGORDINO BL
L032;TAINO VA
L033;TAIO TN
G736;TAIPANA UD
L034;TALAMELLO PU
L035;TALAMONA SO
L036;TALANA NU
L037;TALEGGIO BG
L038;TALLA AR
L039;TALMASSONS UD
L040;TAMBRE BL
L042;TAORMINA ME
L044;TAPOGLIANO UD
L046;TARANO RI
L047;TARANTA PELIGNA CH
L048;TARANTASCA CN
L049;TARANTO TA
L050;TARCENTO UD
D024;TARQUINIA VT
L022;TACENO LC
L023;TADASUNI OR
L024;TAGGIA IM
L025;TAGLIACOZZO AQ
L026;TAGLIO DI PO RO
L097;TENNO TN
L100;TEOLO PD
L101;TEOR UD
L102;TEORA AV
L103;TERAMO TE
L104;TERDOBBIATE NO
L105;TERELLE FR
L106;TERENTO .TERENTEN. BZ
E548;TERENZO PR
M282;TERGU SS
L107;TERLAGO TN
L108;TERLANO .TERLAN. BZ
L109;TERLIZZI BA
M210;TERME VIGLIATORE ME
L111;TERMENO SULLA STRADA DEL VINO .TRAMIN AN DER. BZ
L112;TERMINI IMERESE PA
L113;TERMOLI CB
L115;TERNATE VA
L116;TERNENGO BI
L117;TERNI TR
L055;TARSIA CS
L056;TARTANO SO
L057;TARVISIO UD
L058;TARZO TV
L059;TASSAROLO AL
L060;TASSULLO TN
L061;TAURANO AV
L062;TAURASI AV
L063;TAURIANOVA RC
L064;TAURISANO LE
L065;TAVAGNACCO UD
L066;TAVAGNASCO TO
L067;TAVARNELLE VAL DI PESA FI
F260;TAVAZZANO CON VILLAVESCO LO
L069;TAVENNA CB
L070;TAVERNA CZ
L071;TAVERNERIO CO
L073;TAVERNOLA BERGAMASCA BG
C698;TAVERNOLE SUL MELLA BS
L074;TAVIANO LE
L075;TAVIGLIANO BI
L078;TAVOLETO PU
L081;TAVULLIA PU
L082;TEANA PZ
L083;TEANO CE
D292;TEGGIANO SA
L084;TEGLIO SO
L085;TEGLIO VENETO VE
L086;TELESE TERME BN
L087;TELGATE BG
L088;TELTI SS
L089;TELVE TN
L090;TELVE DI SOPRA TN
L093;TEMPIO PAUSANIA SS
L094;TEMU' BS
L096;TENNA TN
L165;TICINETO AL
L166;TIGGIANO LE
L167;TIGLIETO GE
L168;TIGLIOLE AT
L169;TIGNALE BS
L172;TINNURA NU
L173;TIONE DEGLI ABRUZZI AQ
L174;TIONE DI TRENTO TN
L175;TIRANO SO
L176;TIRES .TIERS. BZ
L177;TIRIOLO CZ
L178;TIROLO .TIROL. BZ
L180;TISSI SS
L181;TITO PZ
L182;TIVOLI RM
L183;TIZZANO VAL PARMA PR
L184;TOANO RE
L185;TOCCO CAUDIO BN
L186;TOCCO DA CASAURIA PE
L187;TOCENO VB
L118;TERNO D'ISOLA BG
L120;TERRACINA LT
L121;TERRAGNOLO TN
L122;TERRALBA OR
L124;TERRANOVA DA SIBARI CS
L125;TERRANOVA DEI PASSERINI LO
L126;TERRANOVA DI POLLINO PZ
L127;TERRANOVA SAPPO MINULIO RC
L123;TERRANUOVA BRACCIOLINI AR
L131;TERRASINI PA
L132;TERRASSA PADOVANA PD
L134;TERRAVECCHIA CS
L136;TERRAZZO VR
L137;TERRES TN
L138;TERRICCIOLA PI
L139;TERRUGGIA AL
L140;TERTENIA NU
L142;TERZIGNO NA
L143;TERZO AL
L144;TERZO DI AQUILEIA UD
L145;TERZOLAS TN
L146;TERZORIO IM
L147;TESERO TN
L149;TESIMO .TISENS. BZ
L150;TESSENNANO VT
L152;TESTICO SV
L153;TETI NU
L154;TEULADA CA
L155;TEVEROLA CE
L156;TEZZE SUL BRENTA VI
L157;THIENE VI
L158;THIESI SS
L160;TIANA NU
L162;TIARNO DI SOPRA TN
L163;TIARNO DI SOTTO TN
L164;TICENGO CR
L228;TORNO CO
L229;TORNOLO PR
L230;TORO CB
L231;TORPE' NU
L233;TORRACA SA
L235;TORRALBA SS
L237;TORRAZZA COSTE PV
L238;TORRAZZA PIEMONTE TO
L239;TORRAZZO BI
L245;TORRE ANNUNZIATA NA
L250;TORRE BERETTI E CASTELLARO PV
L251;TORRE BOLDONE BG
L252;TORRE BORMIDA CN
L243;TORRE CAJETANI FR
L247;TORRE CANAVESE TO
L256;TORRE D'ARESE PV
L257;TORRE DE' BUSI LC
L262;TORRE DE' NEGRI PV
L263;TORRE DE' PASSERI PE
L258;TORRE DE' PICENARDI CR
L265;TORRE DE' ROVERI BG
L188;TODI PG
L189;TOFFIA RI
L190;TOIRANO SV
L191;TOLENTINO MC
L192;TOLFA RM
L193;TOLLEGNO BI
L194;TOLLO CH
L195;TOLMEZZO UD
L197;TOLVE PZ
L199;TOMBOLO PD
L200;TON TN
L201;TONADICO TN
L202;TONARA NU
L203;TONCO AT
L204;TONENGO AT
D717;TONEZZA DEL CIMONE VI
L205;TORA E PICCILLI CE
L206;TORANO CASTELLO CS
L207;TORANO NUOVO TE
L210;TORBOLE CASAGLIA BS
L211;TORCEGNO TN
L212;TORCHIARA SA
L213;TORCHIAROLO BR
L214;TORELLA DEI LOMBARDI AV
L215;TORELLA DEL SANNIO CB
L216;TORGIANO PG
L217;TORGNON AO
L219;TORINO TO
L218;TORINO DI SANGRO CH
L220;TORITTO BA
L221;TORLINO VIMERCATI CR
L223;TORNACO NO
L224;TORNARECCIO CH
L225;TORNATA CR
L227;TORNIMPARTE AQ
L292;TORRICELLA VERZATE PV
L298;TORRIGLIA GE
L299;TORRILE PR
L301;TORRIONI AV
L303;TORRITA DI SIENA SI
L302;TORRITA TIBERINA RM
A355;TORTOLI' NU
L304;TORTONA AL
L305;TORTORA CS
L306;TORTORELLA SA
L307;TORTORETO TE
L308;TORTORICI ME
L309;TORVISCOSA UD
L312;TOSCOLANO-MADERNO BS
L314;TOSSICIA TE
L316;TOVO DI SANT'AGATA SO
L315;TOVO SAN GIACOMO SV
L317;TRABIA PA
L319;TRADATE VA
L321;TRAMATZA OR
L322;TRAMBILENO TN
L259;TORRE DEL GRECO NA
L267;TORRE DI MOSTO VE
L240;TORRE DI RUGGIERO CZ
L244;TORRE DI SANTA MARIA SO
L269;TORRE D'ISOLA PV
L272;TORRE LE NOCELLE AV
L241;TORRE MONDOVI' CN
L274;TORRE ORSAIA SA
L276;TORRE PALLAVICINA BG
L277;TORRE PELLICE TO
L278;TORRE SAN GIORGIO CN
L279;TORRE SAN PATRIZIO AP
L280;TORRE SANTA SUSANNA BR
L246;TORREANO UD
L248;TORREBELVICINO VI
L253;TORREBRUNA CH
L254;TORRECUSO BN
L270;TORREGLIA PD
L271;TORREGROTTA ME
L273;TORREMAGGIORE FG
M286;TORRENOVA ME
L281;TORRESINA CN
L282;TORRETTA PA
L285;TORREVECCHIA PIA PV
L284;TORREVECCHIA TEATINA CH
L287;TORRI DEL BENACO VR
L297;TORRI DI QUARTESOLO VI
L286;TORRI IN SABINA RI
I550;TORRIANA RN
L290;TORRICE FR
L294;TORRICELLA TA
L296;TORRICELLA DEL PIZZO CR
L293;TORRICELLA IN SABINA RI
L291;TORRICELLA PELIGNA CH
