L566;VALDUGGIA VC
L568;VALEGGIO PV
L567;VALEGGIO SUL MINCIO VR
L569;VALENTANO VT
L570;VALENZA AL
L571;VALENZANO BA
L572;VALERA FRATTA LO
L573;VALFABBRICA PG
L574;VALFENERA AT
L575;VALFLORIANA TN
L576;VALFURVA SO
L577;VALGANNA VA
L578;VALGIOIE TO
L579;VALGOGLIO BG
L580;VALGRANA CN
L581;VALGREGHENTINO LC
L582;VALGRISENCHE AO
L583;VALGUARNERA CAROPEPE EN
L584;VALLADA AGORDINA BL
L586;VALLANZENGO BI
L588;VALLARSA TN
L524;VACCARIZZO ALBANESE CS
L525;VACONE RI
L526;VACRI CH
L527;VADENA .PFATTEN. BZ
L528;VADO LIGURE SV
L533;VAGLI SOTTO LU
L529;VAGLIA FI
L532;VAGLIO BASILICATA PZ
L531;VAGLIO SERRA AT
L537;VAIANO PO
L535;VAIANO CREMASCO CR
L538;VAIE TO
L539;VAILATE CR
L540;VAIRANO PATENORA CE
M265;VAJONT PN
L555;VAL DELLA TORRE TO
L562;VAL DI NIZZA PV
L564;VAL DI VIZZE .PFITSCH. BZ
L638;VAL MASINO SO
H259;VAL REZZO CO
L544;VALBONDIONE BG
L545;VALBREMBO BG
L546;VALBREVENNA GE
L547;VALBRONA CO
L550;VALDA TN
L551;VALDAGNO VI
L552;VALDAORA .OLANG. BZ
L554;VALDASTICO VI
L556;VALDENGO BI
G319;VALDERICE TP
L557;VALDIDENTRO SO
L558;VALDIERI CN
L561;VALDINA ME
L563;VALDISOTTO SO
L565;VALDOBBIADENE TV
L634;VALMADRERA LC
L636;VALMALA CN
L639;VALMONTONE RM
L640;VALMOREA CO
L641;VALMOZZOLA PR
L642;VALNEGRA BG
L643;VALPELLINE AO
L644;VALPERGA TO
B510;VALPRATO SOANA TO
L647;VALSAVARENCHE AO
L649;VALSECCA BG
D513;VALSINNI MT
C936;VALSOLDA CO
L650;VALSTAGNA VI
L651;VALSTRONA VB
L653;VALTOPINA PG
L655;VALTORTA BG
L654;VALTOURNENCHE AO
L656;VALVA SA
L657;VALVASONE PN
L658;VALVERDE CT
L589;VALLATA AV
L594;VALLE AGRICOLA CE
L595;VALLE AURINA .AHRNTAL. BZ
L597;VALLE CASTELLANA TE
G540;VALLE DELL'ANGELO SA
L590;VALLE DI CADORE BL
L601;VALLE DI CASIES .GSIES. BZ
L591;VALLE DI MADDALONI CE
L593;VALLE LOMELLINA PV
L606;VALLE MOSSO BI
L617;VALLE SALIMBENE PV
L620;VALLE SAN NICOLAO BI
L596;VALLEBONA IM
L598;VALLECORSA FR
L599;VALLECROSIA IM
L603;VALLEDOLMO PA
L604;VALLEDORIA SS
I322;VALLEFIORITA CZ
L607;VALLELONGA VV
L609;VALLELUNGA PRATAMENO CL
L605;VALLEMAIO FR
L611;VALLEPIETRA RM
L612;VALLERANO VT
L613;VALLERMOSA CA
L614;VALLEROTONDA FR
L616;VALLESACCARDA AV
L623;VALLEVE BG
L624;VALLI DEL PASUBIO VI
L625;VALLINFREDA RM
L626;VALLIO TERME BS
L628;VALLO DELLA LUCANIA SA
L627;VALLO DI NERA PG
L629;VALLO TORINESE TO
L631;VALLORIATE CN
L633;VALMACCA AL
L700;VAZZOLA TV
L702;VECCHIANO PI
L704;VEDANO AL LAMBRO MI
L703;VEDANO OLONA VA
L705;VEDDASCA VA
L706;VEDELAGO TV
L707;VEDESETA BG
L709;VEDUGGIO CON COLZANO MI
L710;VEGGIANO PD
L711;VEGLIE LE
L712;VEGLIO BI
L713;VEJANO VT
L715;VELESO CO
L716;VELEZZO LOMELLINA PV
L719;VELLETRI RM
L720;VELLEZZO BELLINI PV
L723;VELO D'ASTICO VI
L722;VELO VERONESE VR
L724;VELTURNO .FELDTHURNS. BZ
L725;VENAFRO IS
L727;VENARIA REALE TO
L728;VENAROTTA AP
L659;VALVERDE PV
L468;VALVESTINO BS
L660;VANDOIES .VINTL. BZ
L664;VANZAGHELLO MI
L665;VANZAGO MI
L666;VANZONE CON SAN CARLO VB
L667;VAPRIO D'ADDA MI
L668;VAPRIO D'AGOGNA NO
L669;VARALLO VC
L670;VARALLO POMBIA NO
L671;VARANO BORGHI VA
L672;VARANO DE' MELEGARI PR
L673;VARAPODIO RC
L675;VARAZZE SV
L676;VARCO SABINO RI
L677;VAREDO MI
L678;VARENA TN
L680;VARENNA LC
L682;VARESE VA
L681;VARESE LIGURE SP
L685;VARISELLA TO
L686;VARMO UD
L687;VARNA .VAHRN. BZ
L689;VARSI PR
L690;VARZI PV
L691;VARZO VB
L692;VAS BL
A701;VASANELLO VT
L693;VASIA IM
E372;VASTO CH
L696;VASTOGIRARDI IS
L697;VATTARO TN
L698;VAUDA CANAVESE TO
L699;VAZZANO VV
L771;VERNANTE CN
L772;VERNASCA PC
L773;VERNATE MI
L774;VERNAZZA SP
L775;VERNIO PO
L776;VERNOLE LE
L777;VEROLANUOVA BS
L778;VEROLAVECCHIA BS
L779;VEROLENGO TO
L780;VEROLI FR
L781;VERONA VR
